sku_code,design_no.,stock,category,size,color,qty,amount
AN206-GREEN-XL,AN206,15.0,AN : LEGGINGS,XL,Green,1,435.22
AN206-GREEN-XXL,AN206,13.0,AN : LEGGINGS,XXL,Green,1,399.33
AN207-PINK-L,AN207,4.0,AN : LEGGINGS,L,Pink,1,92.64
AN207-PINK-M,AN207,2.0,AN : LEGGINGS,M,Pink,1,158.45
AN207-PINK-S,AN207,4.0,AN : LEGGINGS,S,Pink,1,119.36
AN207-PINK-XL,AN207,1.0,AN : LEGGINGS,XL,Pink,1,305.41
AN207-PINK-XXL,AN207,2.0,AN : LEGGINGS,XXL,Pink,1,433.86
AN209-BIEGE-L,AN209,4.0,AN : LEGGINGS,L,Beige,1,255.47
AN209-BIEGE-M,AN209,7.0,AN : LEGGINGS,M,Beige,1,289.8
AN209-BIEGE-S,AN209,4.0,AN : LEGGINGS,S,Beige,1,375.16
AN209-BIEGE-XL,AN209,3.0,AN : LEGGINGS,XL,Beige,1,186.94
AN209-BIEGE-XXL,AN209,3.0,AN : LEGGINGS,XXL,Beige,1,454.31
AN210-NAVY-L,AN210,5.0,AN : LEGGINGS,L,Navy Blue,1,335.75
AN210-NAVY-M,AN210,3.0,AN : LEGGINGS,M,Navy Blue,1,103.2
AN210-NAVY-S,AN210,4.0,AN : LEGGINGS,S,Navy Blue,1,313.96
AN210-NAVY-XL,AN210,2.0,AN : LEGGINGS,XL,Navy Blue,1,273.46
AN210-NAVY-XXL,AN210,2.0,AN : LEGGINGS,XXL,Navy Blue,1,35.87
AN211-BLACK-L,AN211,2.0,AN : LEGGINGS,L,Black,1,214.15
AN211-BLACK-M,AN211,1.0,AN : LEGGINGS,M,Black,1,429.59
AN211-BLACK-S,AN211,7.0,AN : LEGGINGS,S,Black,1,229.24
AN211-BLACK-XL,AN211,3.0,AN : LEGGINGS,XL,Black,1,92.85
AN211-BLACK-XXL,AN211,3.0,AN : LEGGINGS,XXL,Black,1,61.77
AN212-WHITE-L,AN212,11.0,AN : LEGGINGS,L,White,1,309.17
AN212-WHITE-M,AN212,8.0,AN : LEGGINGS,M,White,1,292.99
AN212-WHITE-S,AN212,13.0,AN : LEGGINGS,S,White,1,215.19
AN212-WHITE-XL,AN212,21.0,AN : LEGGINGS,XL,White,1,388.03
AN212-WHITE-XXL,AN212,12.0,AN : LEGGINGS,XXL,White,1,288.48
AN213-BROWN-L,AN213,2.0,AN : LEGGINGS,L,Brown,1,243.53
AN213-BROWN-M,AN213,7.0,AN : LEGGINGS,M,Brown,1,10.81
AN213-BROWN-S,AN213,8.0,AN : LEGGINGS,S,Brown,1,134.83
AN213-BROWN-XL,AN213,6.0,AN : LEGGINGS,XL,Brown,1,158.15
AN213-BROWN-XXL,AN213,8.0,AN : LEGGINGS,XXL,Brown,1,486.89
BL001-50PINK,BL001,33.0,BLOUSE,FREE,Pink,1,210.04
BL003-50BLACK,BL003,117.0,BLOUSE,FREE,Black,1,296.24
BL004-50CHIKU,BL004,38.0,BLOUSE,FREE,Beige,1,61.69
BL005-54RED,BL005,16.0,BLOUSE,FREE,Red,1,69.24
BL006-54BLACK,BL006,112.0,BLOUSE,FREE,Black,1,375.69
#REF!,BL006,0.0,BLOUSE,FREE,Black,1,471.63
BL007-61PINK,BL007,56.0,BLOUSE,FREE,Pink,1,416.83
BL008-61RED,BL008,35.0,BLOUSE,FREE,Red,1,294.62
#REF!,BL008,0.0,BLOUSE,FREE,Red,1,294.2
BL009-61BLACK,BL009,575.0,BLOUSE,FREE,Black,1,347.58
BL010-61CHIKU,BL010,75.0,BLOUSE,FREE,Beige,1,182.25
BL011-62PINK,BL011,22.0,BLOUSE,FREE,Pink,1,444.58
BL013-62BLACK,BL013,399.0,BLOUSE,FREE,Black,1,321.26
#REF!,BL013,0.0,BLOUSE,FREE,Black,1,348.39
BL014-62CHIKU,BL014,73.0,BLOUSE,FREE,Beige,1,451.37
BL015-63PINK,BL015,14.0,BLOUSE,FREE,Pink,1,235.31
BL016-63RED,BL016,24.0,BLOUSE,FREE,Red,1,175.15
BL017-63BLACK,BL017,208.0,BLOUSE,FREE,Black,1,17.5
BL018-63BEIGE,BL018,39.0,BLOUSE,FREE,Beige,1,133.4
BL019-71PINK,BL019,76.0,BLOUSE,FREE,Pink,1,236.44
#REF!,BL019,0.0,BLOUSE,FREE,Pink,1,478.2
BL020-71RED,BL020,38.0,BLOUSE,FREE,Red,1,165.63
BL021-71BLACK,BL021,628.0,BLOUSE,FREE,Black,1,49.49
#REF!,BL021,0.0,BLOUSE,FREE,Black,1,135.19
#REF!,BL021,0.0,BLOUSE,FREE,Black,1,250.63
#REF!,BL021,1.0,BLOUSE,FREE,Black,1,410.96
#REF!,BL021,0.0,BLOUSE,FREE,Black,1,433.87
BL022-71BEIGE,BL022,106.0,BLOUSE,FREE,Beige,1,480.17
#REF!,BL022,0.0,BLOUSE,FREE,Beige,1,476.85
#REF!,BL022,0.0,BLOUSE,FREE,Beige,1,91.21
BL023-74PINK,BL023,50.0,BLOUSE,FREE,Pink,1,363.45
BL024-74RED,BL024,103.0,BLOUSE,FREE,Red,1,332.72
BL025-74BLACK,BL025,199.0,BLOUSE,FREE,Black,1,395.07
BL026-74BEIGE,BL026,98.0,BLOUSE,FREE,Beige,1,140.12
BL029-78BLACK,BL029,201.0,BLOUSE,FREE,Black,1,263.55
#REF!,BL029,0.0,BLOUSE,FREE,Black,1,230.34
BL030-78BEIGE,BL030,10.0,BLOUSE,FREE,Beige,1,413.25
BL031-79PINK,BL031,8.0,BLOUSE,FREE,Pink,1,281.44
BL034-150GOLD,BL034,31.0,BLOUSE,FREE,Gold,1,356.75
BL035-161GOLD,BL035,448.0,BLOUSE,FREE,Gold,1,159.9
#REF!,BL035,0.0,BLOUSE,FREE,Gold,1,130.23
BL036-176GOLD,BL036,45.0,BLOUSE,FREE,Gold,1,60.07
#REF!,BL036,0.0,BLOUSE,FREE,Gold,1,139.54
BL040-65PINK,BL040,31.0,BLOUSE,FREE,Pink,1,347.91
BL041-65RED,BL041,30.0,BLOUSE,FREE,Red,1,177.16
BL046-82RED,BL046,23.0,BLOUSE,FREE,Red,1,159.02
BL050-83RED,BL050,63.0,BLOUSE,FREE,Red,1,32.61
BL051-83BLACK,BL051,42.0,BLOUSE,FREE,Black,1,18.09
BL053-153GOLD,BL053,20.0,BLOUSE,FREE,Gold,1,406.01
BL055-164GOLD,BL055,68.0,BLOUSE,FREE,Gold,1,369.88
BL056-185GOLD,BL056,23.0,BLOUSE,FREE,Gold,1,388.4
BL057-65BLACK,BL057,114.0,BLOUSE,FREE,Black,1,248.28
BL058-65BEIGE,BL058,20.0,BLOUSE,FREE,Beige,1,499.95
#REF!,BL058,0.0,BLOUSE,FREE,Beige,1,454.27
BL060-75RED,BL060,49.0,BLOUSE,FREE,Red,1,421.29
BL061-75BLACK,BL061,488.0,BLOUSE,FREE,Black,1,207.44
#REF!,BL061,0.0,BLOUSE,FREE,Black,1,30.01
BL073-85BLACK,BL073,48.0,BLOUSE,FREE,Black,1,56.34
BL074-85RED,BL074,17.0,BLOUSE,FREE,Red,1,57.81
BL075-85CHIKU,BL075,7.0,BLOUSE,FREE,Chiku,1,188.5
BL076-86BLACK,BL076,21.0,BLOUSE,FREE,Black,1,222.86
BL077-86RED,BL077,8.0,BLOUSE,FREE,Red,1,395.19
BL078-87BLACK,BL078,18.0,BLOUSE,FREE,Black,1,26.66
BL079-87RED,BL079,12.0,BLOUSE,FREE,Red,1,356.41
BL080-88BLACK,BL080,12.0,BLOUSE,FREE,Black,1,490.18
BL081-88PINK,BL081,30.0,BLOUSE,FREE,Pink,1,224.07
BL082-88CHIKU,BL082,9.0,BLOUSE,FREE,Beige,1,400.02
BL083-186GOLD,BL083,16.0,BLOUSE,FREE,Gold,1,335.54
BL084-187GOLD,BL084,11.0,BLOUSE,FREE,Gold,1,148.51
BL085-L,BL085,24.0,BLOUSE,L,Orange,1,498.37
BL085-M,BL085,15.0,BLOUSE,M,Orange,1,446.37
BL085-S,BL085,12.0,BLOUSE,S,Orange,1,407.28
BL085-XL,BL085,13.0,BLOUSE,XL,Orange,1,209.84
BL085-XS,BL085,6.0,BLOUSE,XS,Orange,1,103.41
BL085-XXL,BL085,11.0,BLOUSE,XXL,Orange,1,288.55
,BL086,1.0,BLOUSE,FREE,Blue,1,35.94
BL086-L,BL086,4.0,BLOUSE,L,Blue,1,128.7
BL086-M,BL086,5.0,BLOUSE,M,Blue,1,229.98
BL086-S,BL086,2.0,BLOUSE,S,Blue,1,95.19
BL086-XL,BL086,5.0,BLOUSE,XL,Blue,1,454.46
BL086-XS,BL086,8.0,BLOUSE,XS,Blue,1,57.92
BL086-XXL,BL086,3.0,BLOUSE,XXL,Blue,1,38.43
,BL087,0.0,BLOUSE,FREE,Multicolor,1,205.08
BL087-L,BL087,48.0,BLOUSE,L,Multicolor,1,57.42
BL087-M,BL087,89.0,BLOUSE,M,Multicolor,1,297.01
BL087-S,BL087,11.0,BLOUSE,S,Multicolor,1,268.03
BL087-XL,BL087,5.0,BLOUSE,XL,Multicolor,1,460.84
BL087-XS,BL087,18.0,BLOUSE,XS,Multicolor,1,44.43
BL087-XXL,BL087,86.0,BLOUSE,XXL,Multicolor,1,291.06
BL089-L,BL089,4.0,BLOUSE,L,Multicolor,1,210.8
BL089-M,BL089,4.0,BLOUSE,M,Multicolor,1,16.0
BL089-S,BL089,3.0,BLOUSE,S,Multicolor,1,487.01
BL089-XL,BL089,8.0,BLOUSE,XL,Multicolor,1,283.28
BL089-XS,BL089,4.0,BLOUSE,XS,Multicolor,1,313.29
BL089-XXL,BL089,7.0,BLOUSE,XXL,Multicolor,1,188.84
BL090-L,BL090,30.0,BLOUSE,L,Peach,1,475.1
BL090-M,BL090,44.0,BLOUSE,M,Peach,1,176.52
BL090-S,BL090,11.0,BLOUSE,S,Peach,1,329.58
BL090-XL,BL090,16.0,BLOUSE,XL,Peach,1,481.16
BL090-XS,BL090,29.0,BLOUSE,XS,Peach,1,262.23
BL090-XXL,BL090,19.0,BLOUSE,XXL,Peach,1,412.0
BL091-L,BL091,4.0,BLOUSE,L,Multicolor,1,480.93
BL091-M,BL091,4.0,BLOUSE,M,Multicolor,1,438.73
BL091-S,BL091,7.0,BLOUSE,S,Multicolor,1,47.59
BL091-XL,BL091,3.0,BLOUSE,XL,Multicolor,1,26.38
BL091-XS,BL091,7.0,BLOUSE,XS,Multicolor,1,300.61
BL091-XXL,BL091,3.0,BLOUSE,XXL,Multicolor,1,129.21
BL092-L,BL092,20.0,BLOUSE,L,Blue,1,143.01
BL092-M,BL092,22.0,BLOUSE,M,Blue,1,161.71
BL092-S,BL092,13.0,BLOUSE,S,Blue,1,219.65
BL092-XL,BL092,27.0,BLOUSE,XL,Blue,1,328.1
BL092-XS,BL092,17.0,BLOUSE,XS,Blue,1,370.19
BL092-XXL,BL092,25.0,BLOUSE,XXL,Blue,1,470.1
BL093-L,BL093,2.0,BLOUSE,L,Grey,1,416.62
BL093-M,BL093,2.0,BLOUSE,M,Grey,1,131.3
BL093-S,BL093,11.0,BLOUSE,S,Grey,1,444.18
BL093-XL,BL093,4.0,BLOUSE,XL,Grey,1,198.33
BL093-XS,BL093,4.0,BLOUSE,XS,Grey,1,436.07
BL093-XXL,BL093,3.0,BLOUSE,XXL,Grey,1,372.7
BL095-L,BL095,51.0,BLOUSE,L,Multicolor,1,11.61
BL095-M,BL095,34.0,BLOUSE,M,Multicolor,1,305.12
BL095-S,BL095,51.0,BLOUSE,S,Multicolor,1,316.85
BL095-XL,BL095,26.0,BLOUSE,XL,Multicolor,1,395.02
BL095-XS,BL095,59.0,BLOUSE,XS,Multicolor,1,36.78
BL095-XXL,BL095,32.0,BLOUSE,XXL,Multicolor,1,123.22
BL096-L,BL096,2.0,BLOUSE,L,Beige,1,285.1
BL096-M,BL096,2.0,BLOUSE,M,Beige,1,74.73
BL096-S,BL096,8.0,BLOUSE,S,Beige,1,163.63
BL096-XL,BL096,2.0,BLOUSE,XL,Beige,1,405.55
BL096-XS,BL096,8.0,BLOUSE,XS,Beige,1,233.2
BL096-XXL,BL096,2.0,BLOUSE,XXL,Beige,1,235.03
BL097-L,BL097,42.0,BLOUSE,L,Maroon,1,313.24
BL097-M,BL097,25.0,BLOUSE,M,Maroon,1,485.59
BL097-S,BL097,39.0,BLOUSE,S,Maroon,1,181.11
BL097-XL,BL097,11.0,BLOUSE,XL,Maroon,1,271.57
BL097-XS,BL097,9.0,BLOUSE,XS,Maroon,1,128.44
BL097-XXL,BL097,35.0,BLOUSE,XXL,Maroon,1,361.88
,BL097,1.0,BLOUSE,XXXL,Maroon,1,35.81
,BL098,2.0,BLOUSE,FREE,Brown,1,191.72
BL098-L,BL098,25.0,BLOUSE,L,Brown,1,374.16
BL098-M,BL098,31.0,BLOUSE,M,Brown,1,462.08
BL098-S,BL098,39.0,BLOUSE,S,Brown,1,474.35
BL098-XL,BL098,34.0,BLOUSE,XL,Brown,1,489.01
BL098-XS,BL098,31.0,BLOUSE,XS,Brown,1,217.5
BL098-XXL,BL098,27.0,BLOUSE,XXL,Brown,1,258.92
BL099-L,BL099,5.0,BLOUSE,L,Black,1,260.96
BL099-M,BL099,6.0,BLOUSE,M,Black,1,48.46
BL099-S,BL099,9.0,BLOUSE,S,Black,1,210.49
BL099-XL,BL099,6.0,BLOUSE,XL,Black,1,479.16
BL099-XS,BL099,12.0,BLOUSE,XS,Black,1,43.35
BL099-XXL,BL099,4.0,BLOUSE,XXL,Black,1,123.29
BL100-L,BL100,4.0,BLOUSE,L,Green,1,466.74
BL100-M,BL100,5.0,BLOUSE,M,Green,1,328.27
BL100-S,BL100,6.0,BLOUSE,S,Green,1,79.05
BL100-XL,BL100,8.0,BLOUSE,XL,Green,1,352.08
BL100-XS,BL100,9.0,BLOUSE,XS,Green,1,403.39
BL100-XXL,BL100,5.0,BLOUSE,XXL,Green,1,295.59
BL101-L,BL101,2.0,BLOUSE,L,Grey,1,351.32
BL101-M,BL101,3.0,BLOUSE,M,Grey,1,456.91
BL101-S,BL101,8.0,BLOUSE,S,Grey,1,198.59
BL101-XL,BL101,4.0,BLOUSE,XL,Grey,1,200.53
BL101-XS,BL101,6.0,BLOUSE,XS,Grey,1,119.3
BL101-XXL,BL101,2.0,BLOUSE,XXL,Grey,1,25.38
,BL102,1.0,BLOUSE,FREE,Navy Blue,1,188.02
BL102-L,BL102,7.0,BLOUSE,L,Navy Blue,1,317.98
BL102-M,BL102,5.0,BLOUSE,M,Navy Blue,1,462.5
BL102-S,BL102,16.0,BLOUSE,S,Navy Blue,1,366.06
BL102-XL,BL102,19.0,BLOUSE,XL,Navy Blue,1,154.94
BL102-XS,BL102,16.0,BLOUSE,XS,Navy Blue,1,482.1
BL102-XXL,BL102,6.0,BLOUSE,XXL,Navy Blue,1,484.09
BL103-L,BL103,7.0,BLOUSE,L,Maroon,1,420.55
BL103-M,BL103,3.0,BLOUSE,M,Maroon,1,480.09
BL103-S,BL103,29.0,BLOUSE,S,Maroon,1,324.5
BL103-XL,BL103,8.0,BLOUSE,XL,Maroon,1,144.16
BL103-XS,BL103,27.0,BLOUSE,XS,Maroon,1,400.41
BL103-XXL,BL103,4.0,BLOUSE,XXL,Maroon,1,16.75
BL104-L,BL104,32.0,BLOUSE,L,Black,1,456.8
BL104-M,BL104,49.0,BLOUSE,M,Black,1,263.62
BL104-S,BL104,14.0,BLOUSE,S,Black,1,476.95
BL104-XL,BL104,20.0,BLOUSE,XL,Black,1,255.65
BL104-XS,BL104,29.0,BLOUSE,XS,Black,1,403.33
BL104-XXL,BL104,26.0,BLOUSE,XXL,Black,1,286.6
BL107-L,BL107,2.0,BLOUSE,L,White,1,141.74
BL107-M,BL107,2.0,BLOUSE,M,White,1,145.62
BL107-S,BL107,15.0,BLOUSE,S,White,1,307.61
BL107-XL,BL107,3.0,BLOUSE,XL,White,1,286.01
BL107-XS,BL107,6.0,BLOUSE,XS,White,1,192.07
BL107-XXL,BL107,4.0,BLOUSE,XXL,White,1,447.29
,BL109,2.0,BLOUSE,FREE,Gold,1,359.97
BL109-L,BL109,23.0,BLOUSE,L,Gold,1,99.15
BL109-M,BL109,37.0,BLOUSE,M,Gold,1,93.57
BL109-S,BL109,34.0,BLOUSE,S,Gold,1,227.11
BL109-XL,BL109,17.0,BLOUSE,XL,Gold,1,289.03
BL109-XS,BL109,15.0,BLOUSE,XS,Gold,1,71.93
BL109-XXL,BL109,9.0,BLOUSE,XXL,Gold,1,50.79
BL110-L,BL110,8.0,BLOUSE,L,Red,1,338.83
BL110-M,BL110,7.0,BLOUSE,M,Red,1,303.84
BL110-S,BL110,18.0,BLOUSE,S,Red,1,461.11
BL110-XL,BL110,8.0,BLOUSE,XL,Red,1,289.8
BL110-XS,BL110,16.0,BLOUSE,XS,Red,1,406.63
BL110-XXL,BL110,5.0,BLOUSE,XXL,Red,1,406.67
BL111-L,BL111,9.0,BLOUSE,L,Black,1,49.09
BL111-M,BL111,6.0,BLOUSE,M,Black,1,495.11
BL111-S,BL111,11.0,BLOUSE,S,Black,1,78.0
BL111-XL,BL111,4.0,BLOUSE,XL,Black,1,78.16
BL111-XS,BL111,13.0,BLOUSE,XS,Black,1,316.44
BL111-XXL,BL111,2.0,BLOUSE,XXL,Black,1,384.69
BL113-L,BL113,4.0,BLOUSE,L,Maroon,1,140.68
BL113-M,BL113,3.0,BLOUSE,M,Maroon,1,47.45
BL113-S,BL113,11.0,BLOUSE,S,Maroon,1,78.86
BL113-XL,BL113,8.0,BLOUSE,XL,Maroon,1,355.05
BL113-XS,BL113,27.0,BLOUSE,XS,Maroon,1,51.35
BL113-XXL,BL113,7.0,BLOUSE,XXL,Maroon,1,251.72
,BL113,0.0,BLOUSE,XXXL,Maroon,1,102.98
BL0115-S,BL115,2.0,BLOUSE,S,Olive,1,151.24
BTM002-L,BTM002,61.0,PANT,L,White,1,79.11
BTM002-M,BTM002,40.0,PANT,M,White,1,77.7
BTM002-S,BTM002,85.0,PANT,S,White,1,41.52
BTM002-XL,BTM002,22.0,PANT,XL,White,1,70.51
BTM002-XS,BTM002,158.0,PANT,XS,White,1,151.18
BTM002-XXL,BTM002,158.0,PANT,XXL,White,1,429.7
BTM002-XXXL,BTM002,194.0,PANT,XXXL,White,1,200.49
BTM003-L,BTM003,32.0,PANT,L,Maroon,1,222.14
BTM003-M,BTM003,25.0,PANT,M,Maroon,1,374.17
BTM003-S,BTM003,35.0,PANT,S,Maroon,1,432.83
BTM003-XL,BTM003,24.0,PANT,XL,Maroon,1,297.37
BTM003-XS,BTM003,40.0,PANT,XS,Maroon,1,42.14
BTM003-XXL,BTM003,4.0,PANT,XXL,Maroon,1,20.79
BTM003-XXXL,BTM003,4.0,PANT,XXXL,Maroon,1,24.28
BTM004-L,BTM004,1.0,BOTTOM,L,White,1,254.56
BTM004-S,BTM004,2.0,BOTTOM,S,White,1,268.67
BTM004-XL,BTM004,3.0,BOTTOM,XL,White,1,121.33
BTM004-XS,BTM004,0.0,BOTTOM,XS,White,1,413.43
BTM004-XXL,BTM004,2.0,BOTTOM,XXL,White,1,119.75
BTM004-XXXL,BTM004,3.0,BOTTOM,XXXL,White,1,106.16
BTM005-L,BTM005,398.0,PANT,L,Black,1,70.11
BTM005-M,BTM005,250.0,PANT,M,Black,1,467.2
BTM005-S,BTM005,347.0,PANT,S,Black,1,58.13
BTM005-XL,BTM005,75.0,PANT,XL,Black,1,333.23
BTM005-XS,BTM005,88.0,PANT,XS,Black,1,203.0
BTM005-XXL,BTM005,21.0,PANT,XXL,Black,1,417.89
BTM005-XXXL,BTM005,59.0,PANT,XXXL,Black,1,459.66
BTM006-L,BTM006,2.0,BOTTOM,L,Green,1,261.25
BTM006-M,BTM006,2.0,BOTTOM,M,Green,1,185.68
BTM006-S,BTM006,1.0,BOTTOM,S,Green,1,116.99
BTM006-XL,BTM006,3.0,BOTTOM,XL,Green,1,425.99
BTM006-XS,BTM006,3.0,BOTTOM,XS,Green,1,437.75
BTM006-XXL,BTM006,3.0,BOTTOM,XXL,Green,1,39.02
BTM006-XXXL,BTM006,4.0,BOTTOM,XXXL,Green,1,342.12
BTM007-L,BTM007,2.0,BOTTOM,L,Beige,1,251.89
BTM007-M,BTM007,1.0,BOTTOM,M,Beige,1,118.52
BTM007-S,BTM007,2.0,BOTTOM,S,Beige,1,222.97
BTM007-XL,BTM007,3.0,BOTTOM,XL,Beige,1,124.08
BTM007-XS,BTM007,2.0,BOTTOM,XS,Beige,1,297.55
BTM007-XXL,BTM007,2.0,BOTTOM,XXL,Beige,1,415.69
BTM008-L,BTM008,6.0,PANT,L,Grey,1,142.22
BTM008-M,BTM008,1.0,PANT,M,Grey,1,232.24
BTM008-S,BTM008,5.0,PANT,S,Grey,1,321.45
BTM008-XL,BTM008,10.0,PANT,XL,Grey,1,176.67
BTM008-XS,BTM008,21.0,PANT,XS,Grey,1,169.79
BTM008-XXL,BTM008,6.0,PANT,XXL,Grey,1,325.98
BTM008-XXXL,BTM008,15.0,PANT,XXXL,Grey,1,158.4
BTM021-L,BTM021,136.0,PANT,L,Navy Blue,1,333.71
BTM021-M,BTM021,63.0,PANT,M,Navy Blue,1,369.39
BTM021-S,BTM021,134.0,PANT,S,Navy Blue,1,122.56
BTM021-XL,BTM021,176.0,PANT,XL,Navy Blue,1,373.01
BTM021-XS,BTM021,41.0,PANT,XS,Navy Blue,1,383.86
BTM021-XXL,BTM021,92.0,PANT,XXL,Navy Blue,1,377.68
BTM021-XXXL,BTM021,102.0,PANT,XXXL,Navy Blue,1,82.92
BTM026-NP-L,BTM026,1.0,PANT,L,Red,1,408.98
BTM026-NP-M,BTM026,6.0,PANT,M,Red,1,63.18
BTM026-NP-S,BTM026,6.0,PANT,S,Red,1,228.74
BTM026-NP-XL,BTM026,0.0,PANT,XL,Red,1,300.83
BTM026-NP-XS,BTM026,23.0,PANT,XS,Red,1,140.97
BTM026-NP-XXL,BTM026,0.0,PANT,XXL,Red,1,51.5
BTM026-NP-XXXL,BTM026,3.0,PANT,XXXL,Red,1,319.74
BTM027-NP-L,BTM027,14.0,PANT,L,Green,1,169.48
BTM027-NP-M,BTM027,14.0,PANT,M,Green,1,489.89
BTM027-NP-S,BTM027,37.0,PANT,S,Green,1,22.61
BTM027-NP-XL,BTM027,8.0,PANT,XL,Green,1,459.4
BTM027-NP-XS,BTM027,25.0,PANT,XS,Green,1,418.54
BTM027-NP-XXL,BTM027,25.0,PANT,XXL,Green,1,71.92
BTM027-NP-XXXL,BTM027,16.0,PANT,XXXL,Green,1,192.34
BTM029-NP-L,BTM029,2.0,PANT,L,Beige,1,24.7
BTM029-NP-M,BTM029,4.0,PANT,M,Beige,1,466.73
BTM029-NP-S,BTM029,1.0,PANT,S,Beige,1,450.38
BTM029-NP-XL,BTM029,2.0,PANT,XL,Beige,1,420.54
BTM029-NP-XS,BTM029,2.0,PANT,XS,Beige,1,439.44
BTM029-NP-XXL,BTM029,0.0,PANT,XXL,Beige,1,17.99
BTM029-NP-XXXL,BTM029,1.0,PANT,XXXL,Beige,1,271.15
BTM030-NP-L,BTM030,0.0,PANT,L,Dark Green,1,357.76
BTM030-NP-M,BTM030,1.0,PANT,M,Dark Green,1,393.99
BTM030-NP-S,BTM030,8.0,PANT,S,Dark Green,1,147.22
BTM030-NP-XL,BTM030,1.0,PANT,XL,Dark Green,1,307.66
BTM030-NP-XS,BTM030,7.0,PANT,XS,Dark Green,1,79.44
BTM030-NP-XXL,BTM030,1.0,PANT,XXL,Dark Green,1,44.13
BTM030-NP-XXXL,BTM030,5.0,PANT,XXXL,Dark Green,1,55.38
BTM031-NP-L,BTM031,43.0,PANT,L,Brown,1,486.43
BTM031-NP-M,BTM031,6.0,PANT,M,Brown,1,107.28
BTM031-NP-S,BTM031,56.0,PANT,S,Brown,1,420.85
BTM031-NP-XL,BTM031,13.0,PANT,XL,Brown,1,424.1
BTM031-NP-XS,BTM031,20.0,PANT,XS,Brown,1,477.51
BTM031-NP-XXL,BTM031,56.0,PANT,XXL,Brown,1,214.63
BTM031-NP-XXXL,BTM031,50.0,PANT,XXXL,Brown,1,329.88
BTM032-NP-L,BTM032,1.0,PANT,L,Pink,1,261.01
BTM032-NP-M,BTM032,1.0,PANT,M,Pink,1,15.73
BTM032-NP-S,BTM032,2.0,PANT,S,Pink,1,206.42
BTM032-NP-XL,BTM032,1.0,PANT,XL,Pink,1,483.81
BTM032-NP-XS,BTM032,5.0,PANT,XS,Pink,1,210.3
BTM032-NP-XXL,BTM032,3.0,PANT,XXL,Pink,1,462.58
BTM032-NP-XXXL,BTM032,1.0,PANT,XXXL,Pink,1,329.64
BTM033-NP-L,BTM033,0.0,PANT,L,Turquoise Blue,1,432.25
BTM033-NP-M,BTM033,1.0,PANT,M,Turquoise Blue,1,61.99
BTM033-NP-S,BTM033,1.0,PANT,S,Turquoise Blue,1,56.02
BTM033-NP-XL,BTM033,1.0,PANT,XL,Turquoise Blue,1,180.11
BTM033-NP-XS,BTM033,5.0,PANT,XS,Turquoise Blue,1,344.05
BTM033-NP-XXL,BTM033,3.0,PANT,XXL,Turquoise Blue,1,169.07
BTM033-NP-XXXL,BTM033,2.0,PANT,XXXL,Turquoise Blue,1,228.97
